dataset_maintainability_enricher | 2026-01-31 21:56:32,586 | INFO | dataset_maintainability_enricher |START
dataset_maintainability_enricher | 2026-01-31 21:56:34,304 | ERROR | Failed alexjc/neural-enhance: StaticAnalysisFilter.process() missing 1 required positional argument: 'data'
dataset_maintainability_enricher | 2026-01-31 21:56:35,762 | ERROR | Failed benbusby/whoogle-search: StaticAnalysisFilter.process() missing 1 required positional argument: 'data'
dataset_maintainability_enricher | 2026-01-31 21:56:53,460 | ERROR | Failed g1879/DrissionPage: StaticAnalysisFilter.process() missing 1 required positional argument: 'data'
dataset_maintainability_enricher | 2026-01-31 21:56:54,979 | ERROR | Failed Doriandarko/claude-engineer: StaticAnalysisFilter.process() missing 1 required positional argument: 'data'
dataset_maintainability_enricher | 2026-01-31 22:01:17,285 | INFO | dataset_maintainability_enricher |START
dataset_maintainability_enricher | 2026-01-31 22:01:44,993 | ERROR | Failed alexjc/neural-enhance: Filter.run() missing 1 required positional argument: 'data'
dataset_maintainability_enricher | 2026-01-31 22:01:48,628 | ERROR | Failed benbusby/whoogle-search: Filter.run() missing 1 required positional argument: 'data'
dataset_maintainability_enricher | 2026-01-31 22:01:50,407 | ERROR | Failed g1879/DrissionPage: Filter.run() missing 1 required positional argument: 'data'
dataset_maintainability_enricher | 2026-01-31 22:01:51,942 | ERROR | Failed Doriandarko/claude-engineer: Filter.run() missing 1 required positional argument: 'data'
dataset_maintainability_enricher | 2026-01-31 22:03:41,588 | INFO | dataset_maintainability_enricher |START
dataset_maintainability_enricher | 2026-01-31 22:06:11,611 | ERROR | Failed allenai/objaverse-xl: Command '['git', 'clone', '--depth', '1', 'https://github.com/allenai/objaverse-xl.git', 'artifacts_create_dataset\\repos\\allenai__objaverse-xl']' returned non-zero exit status 128.
dataset_maintainability_enricher | 2026-01-31 22:16:04,847 | INFO | dataset_maintainability_enricher | SUCCESS | time=743.26s
