full_name,clone_url
alexjc/neural-enhance,https://github.com/alexjc/neural-enhance.git
benbusby/whoogle-search,https://github.com/benbusby/whoogle-search.git
g1879/DrissionPage,https://github.com/g1879/DrissionPage.git
Doriandarko/claude-engineer,https://github.com/Doriandarko/claude-engineer.git
aboul3la/Sublist3r,https://github.com/aboul3la/Sublist3r.git
AlessandroZ/LaZagne,https://github.com/AlessandroZ/LaZagne.git
harelba/q,https://github.com/harelba/q.git
sfyc23/EverydayWechat,https://github.com/sfyc23/EverydayWechat.git
karpathy/minbpe,https://github.com/karpathy/minbpe.git
coursera-dl/coursera-dl,https://github.com/coursera-dl/coursera-dl.git
KittenML/KittenTTS,https://github.com/KittenML/KittenTTS.git
joelgrus/data-science-from-scratch,https://github.com/joelgrus/data-science-from-scratch.git
dataabc/weiboSpider,https://github.com/dataabc/weiboSpider.git
shidenggui/easytrader,https://github.com/shidenggui/easytrader.git
httpie/http-prompt,https://github.com/httpie/http-prompt.git
apenwarr/sshuttle,https://github.com/apenwarr/sshuttle.git
vvbbnn00/WARP-Clash-API,https://github.com/vvbbnn00/WARP-Clash-API.git
miguelgrinberg/flasky,https://github.com/miguelgrinberg/flasky.git
hardikvasa/google-images-download,https://github.com/hardikvasa/google-images-download.git
theskumar/python-dotenv,https://github.com/theskumar/python-dotenv.git
ermaozi/get_subscribe,https://github.com/ermaozi/get_subscribe.git
mps-youtube/yewtube,https://github.com/mps-youtube/yewtube.git
ccxt/binance-trade-bot,https://github.com/ccxt/binance-trade-bot.git
yandex/gixy,https://github.com/yandex/gixy.git
houtianze/bypy,https://github.com/houtianze/bypy.git
