full_name,clone_url,stars,mi_avg,files_analyzed,packages,avg_fan_out,docstring_coverage,has_readme
aaryanrr/Railway-Management,https://github.com/aaryanrr/Railway-Management.git,120,80.15291950594239,6,1,2.1666666666666665,0.0,True
yondonfu/comfystream,https://github.com/yondonfu/comfystream.git,120,75.94652335565617,47,12,4.553191489361702,0.2978723404255319,True
matus-chochlik/ctcache,https://github.com/matus-chochlik/ctcache.git,120,53.444678775994845,9,1,8.11111111111111,0.1111111111111111,True
coldfusion39/domi-owned,https://github.com/coldfusion39/domi-owned.git,120,74.97467356476318,9,1,4.555555555555555,0.0,True
misterch0c/GithubLeakAlert,https://github.com/misterch0c/GithubLeakAlert.git,120,46.902166695291996,1,0,8.0,0.0,True
rhettre/coinbase-advancedtrade-python,https://github.com/rhettre/coinbase-advancedtrade-python.git,120,77.82662351328963,31,4,3.193548387096774,0.25806451612903225,True
pyexcel/pyexcel-xlsx,https://github.com/pyexcel/pyexcel-xlsx.git,120,80.57412607132942,17,1,3.6470588235294117,0.3157894736842105,True
vrachieru/samsung-tv-api,https://github.com/vrachieru/samsung-tv-api.git,120,89.78582599384632,4,1,2.25,0.0,True
edkrueger/sars-fastapi,https://github.com/edkrueger/sars-fastapi.git,120,100.0,6,1,2.5,0.0,True
balanced/status.balancedpayments.com,https://github.com/balanced/status.balancedpayments.com.git,120,70.35684404067491,146,21,3.9785714285714286,0.20100502512562815,True
LARC-CMU-SMU/FoodSeg103-Benchmark-v1,https://github.com/LARC-CMU-SMU/FoodSeg103-Benchmark-v1.git,120,92.42524561348178,590,20,1.1064189189189189,0.010135135135135136,True
TurdusMaximus/MiseryVideoStream,https://github.com/TurdusMaximus/MiseryVideoStream.git,20,75.72812653153257,16,2,2.1,0.0,True
CyniteOfficial/Auto-Filter-V5,https://github.com/CyniteOfficial/Auto-Filter-V5.git,20,46.460952400119865,23,1,5.875,0.0,True
