full_name,clone_url
apple/ml-fastvit,https://github.com/apple/ml-fastvit.git
albertpumarola/GANimation,https://github.com/albertpumarola/GANimation.git
BlankerL/DXY-COVID-19-Crawler,https://github.com/BlankerL/DXY-COVID-19-Crawler.git
mozilla-services/syncserver,https://github.com/mozilla-services/syncserver.git
Nekmo/dirhunt,https://github.com/Nekmo/dirhunt.git
CiaraStrawberry/TemporalKit,https://github.com/CiaraStrawberry/TemporalKit.git
hkchengrex/XMem,https://github.com/hkchengrex/XMem.git
youngfish42/Awesome-FL,https://github.com/youngfish42/Awesome-FL.git
rubik/radon,https://github.com/rubik/radon.git
ObsidianToAnki/Obsidian_to_Anki,https://github.com/ObsidianToAnki/Obsidian_to_Anki.git
NaiboWang/CommandlineConfig,https://github.com/NaiboWang/CommandlineConfig.git
rholder/retrying,https://github.com/rholder/retrying.git
SathyaBhat/spotify-dl,https://github.com/SathyaBhat/spotify-dl.git
