repo_full_name,commit_hash,repo_size,stars_count,forks_count,watchers_count,primary_language,created_at,updated_at,has_backend_framework,has_api_layer,has_db_layer,has_backend_entrypoint,has_ml_indicators,backend_file_count,backend_score,module_count,avg_fan_out,max_fan_in,has_dependency_cycles,dependency_edge_count,architecture_label_raw,architecture_label,architecture_variant,architecture_label_source
BIT-DataLab/Edit-Banana,79b50aecc489a32e85d90cc941044fff48a2d206,83633,4711,307,4711,Python,2026-01-16T10:34:52Z,2026-04-06T14:02:22Z,True,True,False,True,True,44,7,39,5.923076923076923,26,False,231,modular monolith,modular_monolith,,manual
dp-archive/archive,f8bf8cab697714b02956d2d363631e4ee9547927,26249,1113,100,1113,Python,2026-02-12T14:11:39Z,2026-04-03T19:02:40Z,True,True,True,True,False,184,8,170,6.135294117647059,94,False,1043,layered (api + db),layered,api + db,manual
neeltom92/sre-copilot,2b51deb5494932220cc625e0984b686a66c83adf,38226,10,6,10,Python,2026-01-18T04:16:06Z,2026-02-25T13:38:10Z,True,True,False,True,True,13,7,13,5.076923076923077,7,False,66,modular monolith,modular_monolith,,manual
164149043/chanlun,b0134c377106fe18ddb56bbee3cc3193bc9236aa,518,10,4,10,Python,2026-01-06T02:30:16Z,2026-03-19T09:29:00Z,True,True,False,True,False,41,6,41,7.390243902439025,32,False,303,modular monolith,modular_monolith,,manual
Austin-Patrician/eastmoney,e293bf7effad2898e996c724ad3c8faa8b3a4f9a,10665,549,107,549,Python,2026-01-05T09:57:36Z,2026-04-05T15:12:35Z,True,True,True,True,True,143,9,132,4.9393939393939394,83,False,652,layered (api + db),layered,api + db,manual
devgaganin/tele-userbot,d2d738a56970fae5847b1c5ddea5592814d12304,253,21,43,21,Python,2025-02-22T03:50:39Z,2026-04-01T05:25:18Z,True,True,False,True,False,3,6,3,13.333333333333334,3,False,40,script-based,script_based,,manual
bdkoeh/survivalRAG,e544d0747b2ccb47a3bcbc2ef598c33c544850ec,118321,11,2,11,Python,2026-02-28T18:03:20Z,2026-04-05T20:30:50Z,False,True,False,True,True,26,4,25,5.48,20,False,137,modular monolith,modular_monolith,,manual
edkrueger/sars-fastapi,976ffd9b422a5a641a53a729b7101b0522e563cc,169,120,40,120,Python,2020-03-12T21:55:37Z,2025-07-10T11:11:05Z,True,True,True,False,False,6,7,6,2.5,3,False,15,layered (api + db),layered,api + db,manual
IreneTayler/crypto-price_service,7f3a31327c480c0b5ab7f937067f21e5b59159a9,19,10,0,10,Python,2026-03-13T17:45:15Z,2026-03-14T09:38:37Z,True,True,True,False,False,13,7,12,3.8333333333333335,6,False,46,layered (api + db),layered,api + db,manual
thu-ml/Causal-Forcing,52c39015bcb307da785b476822aefce4488ea342,15505,538,28,538,Python,2026-02-01T09:30:13Z,2026-04-06T15:28:49Z,True,True,False,True,True,127,7,125,5.68,98,False,710,modular monolith,modular_monolith,,manual
via007/bilibili-rag,67ce6deebd140b669393bea5dd9de5be67d379f5,6826,960,73,960,Python,2026-01-25T12:24:06Z,2026-04-06T09:23:15Z,True,True,True,True,True,19,9,18,6.666666666666667,15,False,120,layered (api + db),layered,api + db,manual
benbusby/whoogle-search,bf44f2ec18f8085d30660f5cd2fb82a0338da026,2880,11448,1035,11448,Python,2020-01-21T20:22:33Z,2026-04-06T16:01:34Z,True,True,False,True,False,39,6,35,4.9714285714285715,21,False,174,modular monolith,modular_monolith,,manual
Gen-Verse/OpenClaw-RL,bf69147e8c164879ee58cbead1938ae3964669e4,50109,4686,482,4686,Python,2026-02-26T12:57:42Z,2026-04-06T17:13:24Z,True,True,False,True,True,1267,7,1134,5.758377425044092,604,False,6530,modular monolith,modular_monolith,,manual
tibbar213/team-manage,05f83dec423aaad68d41ed995a7d793d841f3e7b,280,973,275,973,Python,2026-01-23T13:40:24Z,2026-04-06T14:40:26Z,True,True,True,True,False,31,8,26,5.230769230769231,24,False,136,layered (api + db),layered,api + db,manual
fortitudelucifer/Lens_opensource,3f8b2245b6f58b0760e131e687c12d36480526a8,18565,10,0,10,Python,2026-02-19T07:50:31Z,2026-03-02T02:52:03Z,True,False,False,True,True,122,4,118,7.88135593220339,107,False,930,modular monolith,modular_monolith,,manual
uluckyXH/OpenMOSS,98f76b83406b829e91ed0c1c7b8bf2a201902000,4345,1144,133,1144,Python,2026-03-08T06:06:37Z,2026-04-06T13:30:21Z,True,True,True,True,False,77,8,70,4.385714285714286,50,False,307,layered (api + db),layered,api + db,manual
Doriandarko/claude-engineer,0a9e4b309bf6b2eda05dcf073cf5094beb08e0c8,1313,11165,1143,11165,Python,2024-06-24T16:52:12Z,2026-04-06T12:38:33Z,True,True,False,True,False,21,6,20,6.5,14,False,130,modular monolith,modular_monolith,,manual
agno-agi/dash,dfcf2bedeb13ad78d10d6cdeabb309766f98075e,179,1816,203,1816,Python,2026-01-30T13:54:17Z,2026-04-05T16:36:02Z,True,False,True,True,True,22,6,21,2.4761904761904763,11,False,52,modular monolith,modular_monolith,,manual
aiming-lab/SkillRL,299909b2f5e2a40cc4d90fef8cdef95b534fb160,34282,554,34,554,Python,2026-02-08T17:40:21Z,2026-04-06T17:13:56Z,True,False,False,True,True,522,4,464,5.239224137931035,213,False,2431,modular monolith,modular_monolith,,manual
QuantaAlpha/QuantaAlpha,453e5752c5805407147e31b6cb19cb5e8bfa21d9,9384,608,113,608,Python,2026-01-28T05:17:15Z,2026-04-06T16:51:32Z,False,True,False,True,True,135,4,111,5.36936936936937,86,False,596,modular monolith,modular_monolith,,manual
toledomauricio/fastapi-whisper-ollama,67ad90ef5df5340f41f041da9163932bcc8ab995,27,10,0,10,Python,2026-01-21T03:11:34Z,2026-03-29T19:18:02Z,True,True,False,False,True,8,6,7,2.2857142857142856,5,False,16,modular monolith,modular_monolith,,manual
yassi/dj-control-room,23dd0e6ab6cbf514cac30897a943d6a875b6b7f1,4358,437,6,437,Python,2026-02-07T18:24:00Z,2026-04-05T04:35:32Z,True,False,True,True,False,29,5,22,2.4545454545454546,18,False,54,modular monolith,modular_monolith,,manual
AutoForgeAI/autoforge,01d1825f1b526bdec2711a3e88cc9ad1d32f6caf,2117,1733,403,1733,Python,2025-12-30T17:01:32Z,2026-04-05T21:01:23Z,True,True,True,True,False,60,8,57,8.631578947368421,40,False,492,layered (api + db),layered,api + db,manual
paulafredo/spam-api-free-fire,54548418dfd91e632cfdf854759992dd96d3f0f1,16,20,25,20,Python,2025-05-08T00:39:17Z,2026-01-13T01:28:12Z,True,True,True,True,False,4,8,4,5.0,3,False,20,script-based,script_based,,manual
owengetinfo-design/PokieTicker,c16b7e34e72c2d09bb50d7b3159fa5cd6697fd19,98500,599,108,599,Python,2026-03-05T09:03:10Z,2026-04-06T12:59:55Z,True,True,False,True,True,34,7,28,4.821428571428571,27,False,135,modular monolith,modular_monolith,,manual
HKUDS/ClawWork,9c73ac05fdb0bffdb23febdd971eb70f44dd46eb,512980,7878,1015,7878,Python,2026-02-15T16:41:38Z,2026-04-06T17:45:21Z,True,True,False,True,True,59,7,52,6.6923076923076925,37,False,348,modular monolith,modular_monolith,,manual
HKUDS/OpenSpace,79a98abda708cf1014b948be892a40d2cb70f327,55441,4356,507,4356,Python,2026-03-24T08:01:49Z,2026-04-06T18:01:00Z,True,True,False,True,True,151,7,147,5.891156462585034,112,False,866,modular monolith,modular_monolith,,manual
McCloudS/subgen,58de7fb277ca603e64f8f17eb713d702932ddfed,1140,1301,109,1301,Python,2023-01-28T17:36:37Z,2026-04-06T00:42:54Z,True,True,False,True,False,3,6,3,11.0,2,False,33,script-based,script_based,,manual
vvbbnn00/WARP-Clash-API,c7bf2360073959861219b422e51ae86411051b46,3736,8844,1156,8844,Python,2023-08-23T19:19:40Z,2026-04-06T13:52:08Z,True,True,False,True,False,20,6,19,4.157894736842105,10,False,79,modular monolith,modular_monolith,,manual
hmmnxkl/LLM-Based-Intelligent-Public-Opinion-Analytics-Assistant,1bb31ec7c9cc8c22c68bdb03252ce74196b069df,726,596,50,596,Python,2026-01-04T06:32:33Z,2026-04-06T11:02:22Z,True,True,True,True,True,69,9,63,4.984126984126984,36,False,314,layered (api + db),layered,api + db,manual
tomateo1reg/sora2-watermark-remover-web-gui,b92193a7171e0734fd64088d49d0e40d45bee6be,91,833,2,833,Python,2026-01-02T21:48:30Z,2026-03-31T16:11:01Z,True,True,False,True,True,15,7,15,5.0,15,False,75,modular monolith,modular_monolith,,manual
NickTikhonov/shuo,2a2de344c228a86da83d54452bc928c8ad5d72b5,854,630,64,630,Python,2026-02-06T13:03:57Z,2026-04-06T04:10:13Z,True,True,False,True,True,21,7,19,5.947368421052632,15,False,113,modular monolith,modular_monolith,,manual
ZhuLinsen/daily_stock_analysis,3dceb1eca8487e5763b5995f78dd9d723213423d,58695,28230,29006,28230,Python,2026-01-10T06:43:20Z,2026-04-06T16:41:05Z,True,False,True,True,True,268,6,263,5.760456273764259,184,False,1515,modular monolith,modular_monolith,,manual
zornade/visura-api,8494ac2ea8e95966d71480e7889f01cc5cef624a,75,628,73,628,Python,2026-03-03T14:57:42Z,2026-04-04T15:23:06Z,True,True,False,False,False,2,5,2,9.5,2,False,19,script-based,script_based,,manual
AutoLab-SAI-SJTU/Paper2Rebuttal,d9d348b7da56ec5d6324d93cdfe2f004d09d750c,695,495,20,495,Python,2026-01-19T09:03:57Z,2026-04-06T08:56:29Z,True,False,False,True,True,5,4,5,12.6,5,False,63,modular monolith,modular_monolith,,manual
zubair-trabzada/geo-seo-claude,c04c52377ffc7f8429a62a7debd9726f8f9f2086,112,4831,771,4831,Python,2026-02-18T09:01:07Z,2026-04-06T17:39:38Z,True,True,False,True,False,8,6,8,5.625,7,False,45,modular monolith,modular_monolith,,manual
