AT_ID,Tactic_Name,Primary_QA_Impact,Description,Positive_Impact,Negative_Impact,Related_Terms,Source
AT2,Audit trail,"Security, Maintainability",Recording system events and user actions for security auditing and compliance tracking,"Security, Maintainability",None identified,"audit, log, trail, wizard, category, thread",Bi et al. (2021)
AT4,Authentication,"Security, Usability",Verifying user identity through credentials to ensure secure access to system resources,"Security(+14), Reliability(+1), Usability(+3)",Functional Suitability(-6),"credential, challenge, login, authorization",Bi et al. (2021)
AT5,Checkpoint,"Performance, Reliability",Saving system state at intervals to enable recovery from failures without complete restart,Performance(+6),None identified,"barrier, weak point, save state",Bi et al. (2021)
AT6,Rollback,"Reliability, Maintainability",Reverting system to previous stable state when errors occur or transactions fail,"Reliability(+6), Maintainability(+13), Functional Suitability(+2), Performance(+5)",None identified,"layoff, restraint, undo, revert",Bi et al. (2021)
AT7,Spare,Reliability,Maintaining unused/backup resources that can be activated when primary resources fail,Reliability,None identified,"backup, unused, option, spare capacity",Bi et al. (2021)
AT8,Redundancy replication,"Reliability, Performance",Creating duplicate copies of data/components to ensure availability and fault tolerance,"Reliability(+8), Performance(+12), Functional Suitability(+7)",None identified,"replication, redundant storage, geo-redundant, zone-redundant",Bi et al. (2021)
AT9,Voting,"Reliability, Performance",Using multiple redundant components to reach consensus through majority decision,"Reliability(+2), Performance(+7), Functional Suitability(+2), Usability(+1)",None identified,"vote, ballot, consensus, majority",Bi et al. (2021)
AT10,Shadow operation,Reliability,Running parallel version of system in background to validate results without affecting main operation,Reliability,None identified,"shadow mode, parallel execution",Bi et al. (2021)
AT13,Time stamp,"Maintainability, Portability","Recording temporal information for events to enable ordering, synchronization, and auditing","Maintainability(+6), Portability(+7)",Performance(-2),"timestamp, time strap, temporal marker",Bi et al. (2021)
AT14,Sanity checking,Maintainability,Validating data reasonableness and system state consistency to detect anomalies early,"Maintainability(+6), Portability(+3)",Performance(-1),"sanity check, validation, reasonableness check",Bi et al. (2021)
AT15,Functional redundancy,"Reliability, Maintainability",Using alternative components with same function to maintain operation when primary fails,"Reliability(+4), Performance(+12), Maintainability(+9), Functional Suitability(+9)",Security(-3),"functional backup, alternative implementation",Bi et al. (2021)
AT17,FIFO,"Usability, Performance",First-In-First-Out queue processing to ensure fair ordering and predictable behavior,"Usability(+25), Reliability(+3), Performance(+10), Portability(+5)",None identified,"first in first out, queue, FIFO buffer",Bi et al. (2021)
AT18,Analytical redundancy,"Reliability, Performance",Using mathematical models/algorithms to detect faults by comparing expected vs actual behavior,"Performance(+4), Compatibility(+3), Security(+4), Functional Suitability(+11)",Portability(-1),"parallel redundancy, warm restart, dual redundancy",Bi et al. (2021)
AT20,Maintain data confidentiality,"Functional Suitability, Security","Protecting sensitive data through encryption, access control, and secure storage mechanisms","Functional Suitability(+21), Reliability(+5), Compatibility(+4)",None identified,"data protection, encryption, confidentiality",Bi et al. (2021)
AT21,Recovery from attacks,"Security, Maintainability",Detecting attacks and restoring system to secure operational state after breach,"Security(+15), Maintainability(+10), Compatibility(+4)","Usability(-5), Performance(-2)","attack recovery, breach response, restoration",Bi et al. (2021)
AT23,Exception,"Reliability, Maintainability","Recognizes and handles faults through exception mechanisms, informing exception handlers of detected faults","Reliability(+), Fault handling(+)",None identified,"exception handling, fault detection, error handling",Kim et al. (2009)
