repo,status,has_tests,suite_ok,modified_files,modified_cov_pct,overall_cov_pct,positive_control_detected,note
kodekloudhub/webapp-color,no_tests,False,,app.py,,,,
AutoLab-SAI-SJTU/Paper2Rebuttal,no_tests,False,,rebuttal_service.py;tools.py,,,,
paulafredo/spam-api-free-fire,no_tests,False,,app.py,,,,
McCloudS/subgen,measured,True,True,subgen.py,36.6,58.1,True,
HKUDS/FastCode,no_tests,False,,main.py;retriever.py,,,,
toledomauricio/fastapi-whisper-ollama,no_tests,False,,service.py,,,,
Doriandarko/claude-engineer,no_tests,False,,ce3.py,,,,
ccxt/binance-trade-bot,no_tests,False,,auto_trader.py;database.py;default_strategy.py;multiple_coins_strategy.py,,,,
suzuran0y/CCTV-Smartphone-AI-Monitoring,measured,True,True,ai_monitor_worker.py,0.0,33.8,,
via007/bilibili-rag,measured,True,True,auth.py,22.6,31.7,,
QuantaAlpha/QuantaAlpha,no_tests,False,,loop.py,,,,
NickTikhonov/shuo,measured,True,True,tts.py;tts_pool.py,0.0,16.6,,
agno-agi/dash,no_tests,False,,,,,,
benbusby/whoogle-search,measured,True,True,search.py,77.5,65.0,,
owengetinfo-design/PokieTicker,no_tests,False,,alignment.py;layer1.py,,,,
bahaeddinmselmi/sovereignguard,measured,True,True,base.py;cin.py;registry.py;date_of_birth.py;person_name.py,85.0,72.8,,
uluckyXH/OpenMOSS,no_tests,False,,,,,,
hmmnxkl/LLM-Based-Intelligent-Public-Opinion-Analytics-Assistant,measured,True,False,,,0.6,,
Miserlou/HerokuFreeProxy,no_tests,False,,,,,,
zornade/visura-api,measured,True,True,,,57.7,,
Soul-AILab/SoulX-FlashHead,no_tests,False,,,,,,
AutoForgeAI/autoforge,measured,True,True,,,25.6,,
TianPangJi/drf_admin,no_tests,False,,permissions.py;dev.py;middleware.py,,,,
tibbar213/team-manage,measured,True,True,,,21.7,,
yassi/dj-control-room,measured,True,True,admin_integration.py;registry.py;utils.py;views.py,79.4,81.2,,
tomateo1reg/sora2-watermark-remover-web-gui,no_tests,False,,server.py;system_info.py,,,,
anthonylee991/gemini-superpowers-antigravity,measured,True,True,sync.py;test_e2e.py,39.8,33.1,,
zubair-trabzada/geo-seo-claude,measured,True,True,,,43.5,,
